============================================================
Bolsa de Arte — Coletor de Cotações
Início: 21/03/2026 19:46:14
============================================================
DB atual: 0 cotações
  Modo: varredura completa | Início: pág 1
  Pág     1 | +12 novos | Total novo: 12
  Pág     2 | +12 novos | Total novo: 24
  Pág     3 | +12 novos | Total novo: 36
  Pág     4 | +12 novos | Total novo: 48
  Pág     5 | +12 novos | Total novo: 60
  Pág     6 | +12 novos | Total novo: 72
  Pág     7 | +12 novos | Total novo: 84
  Pág     8 | +12 novos | Total novo: 96
  Pág     9 | +12 novos | Total novo: 108
  Pág    10 | +12 novos | Total novo: 120
  Pág    11 | +12 novos | Total novo: 132
  Pág    12 | +12 novos | Total novo: 144
  Pág    13 | +12 novos | Total novo: 156
  Pág    14 | +12 novos | Total novo: 168
  Pág    15 | +12 novos | Total novo: 180
  Pág    16 | +12 novos | Total novo: 192
  Pág    17 | +12 novos | Total novo: 204
  Pág    18 | +12 novos | Total novo: 216
  Pág    19 | +12 novos | Total novo: 228
  Pág    20 | +12 novos | Total novo: 240
  Pág    21 | +12 novos | Total novo: 252
  Pág    22 | +12 novos | Total novo: 264
  Pág    23 | +12 novos | Total novo: 276
  Pág    24 | +12 novos | Total novo: 288
  Pág    25 | +12 novos | Total novo: 300
  Pág    26 | +12 novos | Total novo: 312
  Pág    27 | +12 novos | Total novo: 324
  Pág    28 | +12 novos | Total novo: 336
  Pág    29 | +12 novos | Total novo: 348
  Pág    30 | +12 novos | Total novo: 360
  Pág    31 | +12 novos | Total novo: 372
  Pág    32 | +12 novos | Total novo: 384
  Pág    33 | +12 novos | Total novo: 396
  Pág    34 | +12 novos | Total novo: 408
  Pág    35 | +12 novos | Total novo: 420
  Pág    36 | +12 novos | Total novo: 432
  Pág    37 | +12 novos | Total novo: 444
  Pág    38 | +12 novos | Total novo: 456
  Pág    39 | +12 novos | Total novo: 468
  Pág    40 | +12 novos | Total novo: 480
  Pág    41 | +12 novos | Total novo: 492
  Pág    42 | +12 novos | Total novo: 504
  Pág    43 | +12 novos | Total novo: 516
  Pág    44 | +12 novos | Total novo: 528
  Pág    45 | +12 novos | Total novo: 540
  Pág    46 | +12 novos | Total novo: 552
  Pág    47 | +12 novos | Total novo: 564
  Pág    48 | +12 novos | Total novo: 576
  Pág    49 | +12 novos | Total novo: 588
  Pág    50 | +12 novos | Total novo: 600
  Pág    51 | +12 novos | Total novo: 612
  Pág    52 | +12 novos | Total novo: 624
  Pág    53 | +12 novos | Total novo: 636
  Pág    54 | +12 novos | Total novo: 648
  Pág    55 | +12 novos | Total novo: 660
  Pág    56 | +12 novos | Total novo: 672
  Pág    57 | +12 novos | Total novo: 684
  Pág    58 | +12 novos | Total novo: 696
  Pág    59 | +12 novos | Total novo: 708
  Pág    60 | +12 novos | Total novo: 720
  Pág    61 | +12 novos | Total novo: 732
  Pág    62 | +12 novos | Total novo: 744
  Pág    63 | +12 novos | Total novo: 756
  Pág    64 | +12 novos | Total novo: 768
  Pág    65 | +12 novos | Total novo: 780
  Pág    66 | +12 novos | Total novo: 792
  Pág    67 | +12 novos | Total novo: 804
  Pág    68 | +12 novos | Total novo: 816
  Pág    69 | +12 novos | Total novo: 828
  Pág    70 | +12 novos | Total novo: 840
  Pág    71 | +12 novos | Total novo: 852
  Pág    72 | +12 novos | Total novo: 864
  Pág    73 | +12 novos | Total novo: 876
  Pág    74 | +12 novos | Total novo: 888
  Pág    75 | +12 novos | Total novo: 900
  Pág    76 | +12 novos | Total novo: 912
  Pág    77 | +12 novos | Total novo: 924
  Pág    78 | +12 novos | Total novo: 936
  Pág    79 | +12 novos | Total novo: 948
  Pág    80 | +12 novos | Total novo: 960
  Pág    81 | +12 novos | Total novo: 972
  Pág    82 | +12 novos | Total novo: 984
  Pág    83 | +12 novos | Total novo: 996
  Pág    84 | +12 novos | Total novo: 1008
  Pág    85 | +12 novos | Total novo: 1020
  Pág    86 | +12 novos | Total novo: 1032
  Pág    87 | +12 novos | Total novo: 1044
  Pág    88 | +12 novos | Total novo: 1056
  Pág    89 | +12 novos | Total novo: 1068
  Pág    90 | +12 novos | Total novo: 1080
  Pág    91 | +12 novos | Total novo: 1092
  Pág    92 | +12 novos | Total novo: 1104
  Pág    93 | +12 novos | Total novo: 1116
  Pág    94 | +12 novos | Total novo: 1128
  Pág    95 | +12 novos | Total novo: 1140
  Pág    96 | +12 novos | Total novo: 1152
  Pág    97 | +12 novos | Total novo: 1164
  Pág    98 | +12 novos | Total novo: 1176
  Pág    99 | +12 novos | Total novo: 1188
  Pág   100 | +12 novos | Total novo: 1200
  Pág   101 | +12 novos | Total novo: 1212
  Pág   102 | +12 novos | Total novo: 1224
  Pág   103 | +12 novos | Total novo: 1236
  Pág   104 | +12 novos | Total novo: 1248
  Pág   105 | +12 novos | Total novo: 1260
  Pág   106 | +12 novos | Total novo: 1272
  Pág   107 | +12 novos | Total novo: 1284
  Pág   108 | +12 novos | Total novo: 1296
  Pág   109 | +12 novos | Total novo: 1308
  Pág   110 | +12 novos | Total novo: 1320
  Pág   111 | +12 novos | Total novo: 1332
  Pág   112 | +12 novos | Total novo: 1344
  Pág   113 | +12 novos | Total novo: 1356
  Pág   114 | +12 novos | Total novo: 1368
  Pág   115 | +12 novos | Total novo: 1380
  Pág   116 | +12 novos | Total novo: 1392
  Pág   117 | +12 novos | Total novo: 1404
  Pág   118 | +12 novos | Total novo: 1416
  Pág   119 | +12 novos | Total novo: 1428
  Pág   120 | +12 novos | Total novo: 1440
  Pág   121 | +12 novos | Total novo: 1452
  Pág   122 | +12 novos | Total novo: 1464
  Pág   123 | +12 novos | Total novo: 1476
  Pág   124 | +12 novos | Total novo: 1488
  Pág   125 | +12 novos | Total novo: 1500
  Pág   126 | +12 novos | Total novo: 1512
  Pág   127 | +12 novos | Total novo: 1524
  Pág   128 | +12 novos | Total novo: 1536
  Pág   129 | +12 novos | Total novo: 1548
  Pág   130 | +12 novos | Total novo: 1560
  Pág   131 | +12 novos | Total novo: 1572
  Pág   132 | +12 novos | Total novo: 1584
  Pág   133 | +12 novos | Total novo: 1596
  Pág   134 | +12 novos | Total novo: 1608
  Pág   135 | +12 novos | Total novo: 1620
  Pág   136 | +12 novos | Total novo: 1632
  Pág   137 | +12 novos | Total novo: 1644
  Pág   138 | +12 novos | Total novo: 1656
  Pág   139 | +12 novos | Total novo: 1668
  Pág   140 | +12 novos | Total novo: 1680
  Pág   141 | +12 novos | Total novo: 1692
  Pág   142 | +12 novos | Total novo: 1704
  Pág   143 | +12 novos | Total novo: 1716
  Pág   144 | +12 novos | Total novo: 1728
  Pág   145 | +12 novos | Total novo: 1740
  Pág   146 | +12 novos | Total novo: 1752
  Pág   147 | +12 novos | Total novo: 1764
  Pág   148 | +12 novos | Total novo: 1776
  Pág   149 | +12 novos | Total novo: 1788
  Pág   150 | +12 novos | Total novo: 1800
  Pág   151 | +12 novos | Total novo: 1812
  Pág   152 | +12 novos | Total novo: 1824
  Pág   153 | +12 novos | Total novo: 1836
  Pág   154 | +12 novos | Total novo: 1848
  Pág   155 | +12 novos | Total novo: 1860
  Pág   156 | +12 novos | Total novo: 1872
  Pág   157 | +12 novos | Total novo: 1884
  Pág   158 | +12 novos | Total novo: 1896
  Pág   159 | +12 novos | Total novo: 1908
  Pág   160 | +12 novos | Total novo: 1920
  Pág   161 | +12 novos | Total novo: 1932
  Pág   162 | +12 novos | Total novo: 1944
  Pág   163 | +12 novos | Total novo: 1956
  Pág   164 | +12 novos | Total novo: 1968
  Pág   165 | +12 novos | Total novo: 1980
  Pág   166 | +12 novos | Total novo: 1992
  Pág   167 | +12 novos | Total novo: 2004
  Pág   168 | +12 novos | Total novo: 2016
  Pág   169 | +12 novos | Total novo: 2028
  Pág   170 | +12 novos | Total novo: 2040
  Pág   171 | +12 novos | Total novo: 2052
  Pág   172 | +12 novos | Total novo: 2064
  Pág   173 | +12 novos | Total novo: 2076
  Pág   174 | +12 novos | Total novo: 2088
  Pág   175 | +12 novos | Total novo: 2100
  Pág   176 | +12 novos | Total novo: 2112
  Pág   177 | +12 novos | Total novo: 2124
  Pág   178 | +12 novos | Total novo: 2136
  Pág   179 | +12 novos | Total novo: 2148
  Pág   180 | +12 novos | Total novo: 2160
  Pág   181 | +12 novos | Total novo: 2172
  Pág   182 | +12 novos | Total novo: 2184
  Pág   183 | +12 novos | Total novo: 2196
  Pág   184 | +12 novos | Total novo: 2208
  Pág   185 | +12 novos | Total novo: 2220
  Pág   186 | +12 novos | Total novo: 2232
  Pág   187 | +12 novos | Total novo: 2244
  Pág   188 | +12 novos | Total novo: 2256
  Pág   189 | +12 novos | Total novo: 2268
  Pág   190 | +12 novos | Total novo: 2280
  Pág   191 | +12 novos | Total novo: 2292
  Pág   192 | +12 novos | Total novo: 2304
  Pág   193 | +12 novos | Total novo: 2316
  Pág   194 | +12 novos | Total novo: 2328
  Pág   195 | +12 novos | Total novo: 2340
  Pág   196 | +12 novos | Total novo: 2352
  Pág   197 | +12 novos | Total novo: 2364
  Pág   198 | +12 novos | Total novo: 2376
  Pág   199 | +12 novos | Total novo: 2388
  Pág   200 | +12 novos | Total novo: 2400
  Pág   201 | +12 novos | Total novo: 2412
  Pág   202 | +12 novos | Total novo: 2424
  Pág   203 | +12 novos | Total novo: 2436
  Pág   204 | +12 novos | Total novo: 2448
  Pág   205 | +12 novos | Total novo: 2460
  Pág   206 | +12 novos | Total novo: 2472
  Pág   207 | +12 novos | Total novo: 2484
  Pág   208 | +12 novos | Total novo: 2496
  Pág   209 | +12 novos | Total novo: 2508
  Pág   210 | +12 novos | Total novo: 2520
  Pág   211 | +12 novos | Total novo: 2532
  Pág   212 | +12 novos | Total novo: 2544
  Pág   213 | +12 novos | Total novo: 2556
  Pág   214 | +12 novos | Total novo: 2568
  Pág   215 | +12 novos | Total novo: 2580
  Pág   216 | +12 novos | Total novo: 2592
  Pág   217 | +12 novos | Total novo: 2604
  Pág   218 | +12 novos | Total novo: 2616
  Pág   219 | +12 novos | Total novo: 2628
  Pág   220 | +12 novos | Total novo: 2640
  Pág   221 | +12 novos | Total novo: 2652
  Pág   222 | +12 novos | Total novo: 2664
  Pág   223 | +12 novos | Total novo: 2676
  Pág   224 | +12 novos | Total novo: 2688
  Pág   225 | +12 novos | Total novo: 2700
  Pág   226 | +12 novos | Total novo: 2712
  Pág   227 | +12 novos | Total novo: 2724
  Pág   228 | +12 novos | Total novo: 2736
  Pág   229 | +12 novos | Total novo: 2748
  Pág   230 | +12 novos | Total novo: 2760
  Pág   231 | +12 novos | Total novo: 2772
  Pág   232 | +12 novos | Total novo: 2784
  Pág   233 | +12 novos | Total novo: 2796
  Pág   234 | +12 novos | Total novo: 2808
  Pág   235 | +12 novos | Total novo: 2820
  Pág   236 | +12 novos | Total novo: 2832
  Pág   237 | +12 novos | Total novo: 2844
  Pág   238 | +12 novos | Total novo: 2856
  Pág   239 | +12 novos | Total novo: 2868
  Pág   240 | +12 novos | Total novo: 2880
  Pág   241 | +12 novos | Total novo: 2892
  Pág   242 | +12 novos | Total novo: 2904
